"t";"aveOLWAll";"sdOLWAll";"aveFIAll";"alive";"pen";"week";"stage";"OptFeedMix";"optThreshold";"eAveOLWAll";"eAveGAll";"eSdOLWAll"
7;34,8977300714726;1,72440983298283;12,2896134572455;15;2;1;2;1;NA;34,87;5,019;2,339
14;40,8861637713817;2,3389490909332;13,4270455106551;15;2;2;3;1;NA;40,466;5,355;2,892
21;47,0336390056431;2,42222951771964;14,48634917256;15;2;3;4;2;NA;46,366;5,631;3,567
28;55,0027162749949;2,7373517460374;17,1716712190572;15;2;4;5;2;NA;54,515;6,924;2,6
35;61,879828982379;2,61246368922262;18,1610691554028;15;2;5;6;2;NA;61,658;7,286;3,126
42;69,6404612376939;3,83512231049622;19,1994820921064;15;2;6;7;2;NA;69,234;7,509;4,086
49;77,9211795956692;3,96371540969996;19,8811381699844;15;2;7;8;2;NA;77,188;7,456;5,136
56;84,6362814271207;6,31203700073856;20,4797442189178;15;2;8;9;2;NA;84,64;7,673;6,4
63;93,6420226913411;6,50768535519968;20,7888815245842;15;2;9;10;2;"1";92,766;7,241;7,504
70;100,991543824477;7,69355033668118;21,1988987434348;14;2;10;11;2;"4";100,333;7,203;8,616
77;103,975179863545;8,51057822168729;21,2424708489303;10;2;11;12;2;"10";106,373;7,776;9,694
