"t";"aveOLWAll";"sdOLWAll";"aveFIAll";"alive";"pen";"week";"stage";"weekDay";"OptFeedMix";"optThreshold";"eAveOLWAll";"eAveGAll";"eSdOLWAll"
0;31,305927978934;1,1881843351443;11,4580949040549;15;1;1;1;7;1;NA;26,49;5,8;2,850987
7;35,3039113750743;1,52939440623195;11,9209387350609;15;1;2;2;7;1;NA;35,272;4,747;2,268
14;40,7829302658665;2,10165440616327;12,7047683479903;15;1;3;3;7;1;NA;40,462;4,918;2,76
21;46,4830899580728;2,5135578806562;13,7916799271336;15;1;4;4;7;2;NA;45,876;5,228;3,44
28;51,5989816793645;3,86264798014985;15,2688883679322;15;1;5;5;7;2;NA;51,8;6,055;3,588
35;58,2673719819519;3,89143451379073;16,0189190371832;15;1;6;6;7;2;NA;58,062;6,101;4,422
42;65,0456870196579;4,62424750817633;16,8039978548745;15;1;7;7;7;2;NA;64,532;6,179;5,559
49;72,6744844179715;7,37572799101211;17,4020544056456;15;1;8;8;7;3;NA;71,45;6,013;7,403
56;77,6723935732214;7,38936821919858;18,3101696059084;15;1;9;9;7;3;NA;77,898;6,656;5,81
63;81,9081090414582;8,24235532242294;18,8413789157721;15;1;10;10;7;3;NA;83,219;7,051;7,958
70;89,6473394014244;7,91147581915371;19,4991824194766;15;1;11;11;7;3;"2";90,008;6,878;10,022
77;99,2154554650658;12,2989043852596;19,7490079142804;13;1;12;12;7;3;"13";97,775;6,175;13,148
